model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,landmark_percent,snapshot_variant,train_snapshots_per_class,test_snapshots_per_class,feature_space
logistic,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0192606449127197,pkdd_czech,clean,20.0,revised,6,5,barcode
random_forest,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.5361418724060059,pkdd_czech,clean,20.0,revised,6,5,barcode
svm,0.7,0.7,0.625,1.0,0.7692307692307693,0.92,0.9266666666666664,0.0120849609375,pkdd_czech,clean,20.0,revised,6,5,barcode
knn,0.8,0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.71,0.0515735149383544,pkdd_czech,clean,20.0,revised,6,5,barcode
xgb,0.9,0.9,0.8333333333333334,1.0,0.9090909090909092,1.0,1.0,0.1302604675292968,pkdd_czech,clean,20.0,revised,6,5,barcode
logistic,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,0.0282647609710693,polish_bankruptcy,historical,10.0,revised,11,11,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5453803539276123,polish_bankruptcy,historical,10.0,revised,11,11,barcode
svm,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,0.0113470554351806,polish_bankruptcy,historical,10.0,revised,11,11,barcode
knn,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,0.0623819828033447,polish_bankruptcy,historical,10.0,revised,11,11,barcode
xgb,0.8,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,0.1437842845916748,polish_bankruptcy,historical,10.0,revised,11,11,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0267961025238037,polish_bankruptcy,historical,20.0,revised,6,6,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5399327278137207,polish_bankruptcy,historical,20.0,revised,6,6,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0111353397369384,polish_bankruptcy,historical,20.0,revised,6,6,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0606992244720459,polish_bankruptcy,historical,20.0,revised,6,6,barcode
xgb,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.3333333333333333,0.1306502819061279,polish_bankruptcy,historical,20.0,revised,6,6,barcode
logistic,0.8636363636363636,0.8636363636363636,0.7857142857142857,1.0,0.88,1.0,1.0,0.0269279479980468,polish_bankruptcy,clean,10.0,revised,11,11,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5470068454742432,polish_bankruptcy,clean,10.0,revised,11,11,barcode
svm,0.6363636363636364,0.6363636363636364,0.5789473684210527,1.0,0.7333333333333333,0.8677685950413223,0.9213184476342372,0.0130693912506103,polish_bankruptcy,clean,10.0,revised,11,11,barcode
knn,0.6818181818181818,0.6818181818181819,0.6111111111111112,1.0,0.7586206896551724,0.731404958677686,0.6490800865800866,0.0582993030548095,polish_bankruptcy,clean,10.0,revised,11,11,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1297028064727783,polish_bankruptcy,clean,10.0,revised,11,11,barcode
logistic,0.6666666666666666,0.6666666666666666,0.6,1.0,0.75,1.0,1.0,0.026888370513916,polish_bankruptcy,clean,20.0,revised,6,6,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5289597511291504,polish_bankruptcy,clean,20.0,revised,6,6,barcode
svm,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,1.0,1.0,0.0130565166473388,polish_bankruptcy,clean,20.0,revised,6,6,barcode
knn,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.9444444444444444,0.9484126984126984,0.0614330768585205,polish_bankruptcy,clean,20.0,revised,6,6,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1448447704315185,polish_bankruptcy,clean,20.0,revised,6,6,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0157034397125244,taiwan_bankruptcy,historical,10.0,revised,11,11,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5375456809997559,taiwan_bankruptcy,historical,10.0,revised,11,11,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0115358829498291,taiwan_bankruptcy,historical,10.0,revised,11,11,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0668234825134277,taiwan_bankruptcy,historical,10.0,revised,11,11,barcode
xgb,0.8,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,0.1664762496948242,taiwan_bankruptcy,historical,10.0,revised,11,11,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0211799144744873,taiwan_bankruptcy,historical,20.0,revised,6,6,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6214447021484375,taiwan_bankruptcy,historical,20.0,revised,6,6,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0147230625152587,taiwan_bankruptcy,historical,20.0,revised,6,6,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0607657432556152,taiwan_bankruptcy,historical,20.0,revised,6,6,barcode
xgb,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.3333333333333333,0.1308541297912597,taiwan_bankruptcy,historical,20.0,revised,6,6,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0274004936218261,taiwan_bankruptcy,clean,10.0,revised,11,11,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8510794639587402,taiwan_bankruptcy,clean,10.0,revised,11,11,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019233226776123,taiwan_bankruptcy,clean,10.0,revised,11,11,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0697238445281982,taiwan_bankruptcy,clean,10.0,revised,11,11,barcode
xgb,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,0.9917355371900828,0.9924242424242424,0.2005119323730468,taiwan_bankruptcy,clean,10.0,revised,11,11,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0219359397888183,taiwan_bankruptcy,clean,20.0,revised,6,6,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5291721820831299,taiwan_bankruptcy,clean,20.0,revised,6,6,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0125997066497802,taiwan_bankruptcy,clean,20.0,revised,6,6,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0663979053497314,taiwan_bankruptcy,clean,20.0,revised,6,6,barcode
